file,status,name,journal,year,doi,repository,dataset_url,topics,modality,tags,used_fulltext,schema_valid,missing_required
accented-speech-modulates-multiple-event-related.json,pending,Accented speech modulates multiple event-related potential components across multiple levels of language processing,Communications Psychology,2025,10.1038/s44271-025-00345-z,OSF,https://osf.io/n7pky/,communication,EEG,,True,True,description;sampleSize;species;longitudinal;openAccess
acute-stress-impairs-decision-making-at.json,pending,Acute stress impairs decision-making at varying levels of decision complexity,Communications Psychology,2025,10.1038/s44271-025-00355-x,,,memory;social learning,,Stress/physical health,True,False,description;modality;sampleSize;species;longitudinal;openAccess;url
age-related-neural-dynamics-of-empathy.json,pending,Age-related neural dynamics of empathy in preschoolers: an EEG study with naturalistic viewing,SCAN,2026,10.1093/scan/nsag045,,,aging;cooperation;development;emotion;empathy,EEG,,True,True,description;sampleSize;species;longitudinal;openAccess;url
alcohol-attention-bias-modulates-neural-engagement.json,pending,Alcohol attention bias modulates neural engagement during moral processing,Social Neuroscience,2024,10.1080/17470919.2024.2377666,,,memory;social learning,fMRI,,False,True,description;sampleSize;species;longitudinal;openAccess;url
ayahuasca-enhances-functional-connectivity-in-the.json,pending,"Ayahuasca enhances functional connectivity in the third visual pathway and mirror neuron networks: a crossover, multiple-dose functional MRI study",SCAN,2026,10.1093/scan/nsag004,,,cooperation;emotion;friendship;social interaction,fMRI,,True,True,description;sampleSize;species;longitudinal;openAccess;url
changes-in-political-attitudes-are-associated.json,pending,Changes in political attitudes are associated with changes in neural responses to political content,Communications Psychology,2026,10.1038/s44271-026-00395-x,NeuroVault,https://neurovault.org/collections/19578/,memory;social learning,fMRI,,True,True,description;sampleSize;species;longitudinal;openAccess
common-neural-responses-to-romantic-rejection.json,pending,Common neural responses to romantic rejection and acceptance in healthy adults,Social Neuroscience,2020,10.1080/17470919.2020.1801502,,,identity;social cognition,fMRI,Artificial Intelligence,False,True,description;sampleSize;species;longitudinal;openAccess;url
covert-neural-and-autonomic-signatures-of.json,pending,Covert neural and autonomic signatures of shared perception,SCAN,2026,10.1093/scan/nsag009,OSF,https://osf.io/yjafh/,,EEG,,True,True,description;topics;sampleSize;species;longitudinal;openAccess
differential-responses-to-group-and-individual.json,pending,Differential responses to group and individual emotional voices: a behavioral and ERP study,SCAN,2026,10.1093/scan/nsag041,,,emotion;empathy;memory;social learning,EEG,,True,True,description;sampleSize;species;longitudinal;openAccess;url
effects-of-trns-on-perception-of.json,pending,Effects of tRNS on perception of static and dynamic displays of social-emotional communication,SCAN,2026,10.1093/scan/nsag011,OSF,https://doi.org/10.17605/OSF.IO/QS8FP,emotion,EEG,,True,True,description;sampleSize;species;longitudinal;openAccess
